"ProjectNumber","Year","Budget","GrantType","Topic","Country","City"
713689,2015,149850,"Proof Of Concept","Proof of Concept","AT","VIENNA"
307701,2012,1440594,"Starting Grants","PE8 - Products & Processes Engineering","AT","VIENNA"
101076523,2022,1499514,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","FR","Paris"
805098,2018,1373500,"Starting Grants","SH6 - The Study of the Human Past","FR","PARIS"
824735,2018,149906,"Proof Of Concept","Proof of Concept","FR","PARIS"
724208,2016,1909750,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","FR","PARIS"
306312,2012,1267914,"Starting Grants","PE2 - Fundamental Constituents of Matter","FR","PARIS"
101020445,2020,3499845,"Advanced Grants","PE3 - Condensed Matter Physics","CH","LAUSANNE"
259398,2010,1439840,"Starting Grants","PE3 - Condensed Matter Physics","CH","LAUSANNE"
813169,2018,150000,"Proof Of Concept","Proof of Concept","DE","Koln"
310700,2012,1500000,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","DE","Koln"
725369,2016,1342132,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","FI","HELSINKI"
818343,2018,1997762,"Consolidator Grants","SH5 - Cultures & Cultural Production","DE","BAYREUTH"
841560,2018,150000,"Proof Of Concept","Proof of Concept","FR","Paris"
337440,2013,1499976,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","FR","Paris"
101044951,2021,1991125,"Consolidator Grants","LS3 - Cellular, Developmental & Regenerative Biology","CZ","Ceske Budejovice"
269774,2010,2129200,"Advanced Grants","SH5 - Cultures & Cultural Production","IT","PISA"
101069395,2022,150000,"Proof Of Concept","Proof of Concept","IT","PADOVA"
101055262,2021,2495250,"Advanced Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","IT","PADOVA"
617162,2013,1751147,"Consolidator Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","IT","PADOVA"
788381,2017,2285625,"Advanced Grants","LS4 - Physiology in Health, Disease & Ageing","DE","MUNCHEN"
788381,2017,2285625,"Advanced Grants","LS4 - Physiology in Health, Disease & Ageing","DE","MUNCHEN"
804388,2018,1749375,"Starting Grants","SH4 - The Human Mind and its Complexity","IT","GENOVA"
305377,2012,1496222,"Starting Grants","PE10 - Earth System Science","IT","Palermo"
949087,2020,1449750,"Starting Grants","PE5 - Synthetic Chemistry & Materials","IT","PADOVA"
647981,2014,1509000,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","IT","PAVIA"
338756,2013,2493220,"Advanced Grants","SH5 - Cultures & Cultural Production","DE","HAMBURG"
101076026,2022,1769998,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","IT",NA
947923,2020,1342500,"Starting Grants","PE1 - Mathematics","CH","ZURICH"
820102,2018,2000000,"Consolidator Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","UK","LONDON"
101118089,2023,1495271,"Starting Grants","PE7 - Systems & Communication Engineering","DE",NA
101116274,2023,1499521,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","SE",NA
948982,2020,1152170,"Starting Grants","SH3 - The Social World and its Diversity","IT","MILAN"
771004,2017,1550945,"Consolidator Grants","SH1 - Individuals, Markets & Organisations ","UK","LONDON"
724939,2016,1235875,"Consolidator Grants","PE1 - Mathematics","IT","Roma"
239694,2009,650000,"Starting Grants","PE1 - Mathematics","IT","Roma"
322849,2012,1550200,"Advanced Grants","SH5 - Cultures & Cultural Production","DK","COPENHAGEN"
802371,2018,1498125,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","IT","GENOVA"
101039481,2021,1315000,"Starting Grants","PE8 - Products & Processes Engineering","IT","Pisa"
948493,2020,1499786,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","IE","DUBLIN"
758450,2017,1452210,"Starting Grants","SH5 - Cultures & Cultural Production","IT","PADOVA"
101069262,2022,150000,"Proof Of Concept","Proof of Concept","IT","Roma"
772261,2017,1998785,"Consolidator Grants","PE8 - Products & Processes Engineering","IT","Roma"
101019380,2020,2500000,"Advanced Grants","PE10 - Earth System Science","FR","PARIS"
101123406,2023,150000,"Proof Of Concept","Proof of Concept","BE",NA
714605,2016,1499110,"Starting Grants","PE8 - Products & Processes Engineering","BE","Brussels"
101114664,2023,1500000,"Starting Grants","PE8 - Products & Processes Engineering","IT",NA
259229,2010,1195200,"Starting Grants","PE8 - Products & Processes Engineering","IT","PAVIA"
101075511,2022,1499500,"Starting Grants","SH3 - The Social World and its Diversity","NO",NA
947908,2020,1498830,"Starting Grants","PE6 - Computer Science & Informatics","FR","LE CHESNAY CEDEX"
963890,2020,150000,"Proof Of Concept","Proof of Concept","FR","PARIS"
637748,2014,1494000,"Starting Grants","PE3 - Condensed Matter Physics","FR","PARIS"
669668,2014,1876215,"Advanced Grants","PE2 - Fundamental Constituents of Matter","IT","PISA"
724289,2016,1668418,"Consolidator Grants","PE10 - Earth System Science","UK","LIVERPOOL"
101089107,2022,1758084,"Consolidator Grants","SH7 - Human Mobility, Environment & Space","IT",NA
307286,2012,679200,"Starting Grants","PE2 - Fundamental Constituents of Matter","IT","Milan"
321122,2012,2180306,"Advanced Grants","PE3 - Condensed Matter Physics","IT","PISA"
101020369,2020,2257300,"Advanced Grants","PE4 - Physical & Analytical Chemical Sciences","UK","LIVERPOOL"
862102,2019,150000,"Proof Of Concept","Proof of Concept","UK","LIVERPOOL"
615834,2013,1512873,"Consolidator Grants","PE4 - Physical & Analytical Chemical Sciences","UK","LIVERPOOL"
239988,2009,1050000,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","UK","COVENTRY"
758903,2017,1500000,"Starting Grants","PE2 - Fundamental Constituents of Matter","IT","PISA"
101003183,2020,1986437,"Consolidator Grants","SH3 - The Social World and its Diversity","IT","MILAN"
283955,2011,1210000,"Starting Grants","SH3 - The Social World and its Diversity","IT","MILAN"
101077348,2022,1499923,"Starting Grants","SH6 - The Study of the Human Past","IT","ROMA"
851758,2019,1494683,"Starting Grants","PE7 - Systems & Communication Engineering","UK","BRIGHTON"
311460,2012,1499904,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","UK","Dundee"
721675,2016,1742428,"Consolidator Grants","PE1 - Mathematics","CH","ZURICH"
802414,2018,1499965,"Starting Grants","PE10 - Earth System Science","DE","Bremen"
101076616,2022,1497340,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","IT","GENOVA"
101043968,2021,952785,"Consolidator Grants","PE11 - Materials Engineering","IT","MILAN"
963945,2020,150000,"Proof Of Concept","Proof of Concept","NL","EINDHOVEN"
757791,2017,1497982,"Starting Grants","PE7 - Systems & Communication Engineering","NL","EINDHOVEN"
101039532,2021,1370996,"Starting Grants","SH1 - Individuals, Markets & Organisations ","PT","Lisbon"
863839,2019,2000000,"Consolidator Grants","PE6 - Computer Science & Informatics","IL","HAIFA"
950230,2020,1499965,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","UK","LONDON"
227477,2008,1531628,"Advanced Grants","PE7 - Systems & Communication Engineering","DE","DARMSTADT"
882751,2019,1628750,"Advanced Grants","PE1 - Mathematics","IL","JERUSALEM"
692854,2015,1592500,"Advanced Grants","PE1 - Mathematics","IL","JERUSALEM"
101043986,2021,2051921,"Consolidator Grants","SH4 - The Human Mind and its Complexity","ES","CERDANYOLA DEL VALLES"
101040588,2021,1499265,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","BE","ANTWERP"
101039904,2021,1493680,"Starting Grants","SH5 - Cultures & Cultural Production","NL","TILBURG"
648365,2014,1907325,"Consolidator Grants","PE5 - Synthetic Chemistry & Materials","DE","Munchen"
866537,2019,2153310,"Consolidator Grants","LS3 - Cellular, Developmental & Regenerative Biology","DE","HEIDELBERG"
321031,2012,1700000,"Advanced Grants","PE3 - Condensed Matter Physics","SE","STOCKHOLM"
313820,2012,1492086,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","UK","EDINBURGH"
852742,2019,1746825,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","DE","MUNCHEN"
101138304,2023,150000,"Proof Of Concept","Proof of Concept","BE",NA
802895,2018,1489656,"Starting Grants","PE6 - Computer Science & Informatics","BE","LEUVEN"
260914,2010,1500000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","IL","JERUSALEM"
101123148,2023,150000,"Proof Of Concept","Proof of Concept","DE",NA
754290,2017,1499891,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","DE","Bonn"
803426,2018,1499954,"Starting Grants","PE5 - Synthetic Chemistry & Materials","DE","Regensburg"
616675,2013,1999200,"Consolidator Grants","PE3 - Condensed Matter Physics","NL","ENSCHEDE"
862040,2019,150000,"Proof Of Concept","Proof of Concept","IL","HAIFA"
665055,2014,150000,"Proof Of Concept","Proof of Concept","IL","TEL AVIV"
335491,2013,1469200,"Starting Grants","PE6 - Computer Science & Informatics","IL","HAIFA"
101088163,2022,1995554,"Consolidator Grants","PE4 - Physical & Analytical Chemical Sciences","DK","KONGENS LYNGBY"
647133,2014,1696937,"Consolidator Grants","PE1 - Mathematics","FR","PARIS"
683211,2015,1713983,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","UK","CAMBRIDGE"
101098001,2022,3409401,"Advanced Grants","PE8 - Products & Processes Engineering","CZ",NA
638666,2014,899105,"Starting Grants","SH1 - Individuals, Markets & Organisations ","UK","London"
875564,2019,150000,"Proof Of Concept","Proof of Concept","DE","DRESDEN"
340419,2013,2194000,"Advanced Grants","PE5 - Synthetic Chemistry & Materials","DE","DRESDEN"
676895,2015,1449983,"Starting Grants","PE3 - Condensed Matter Physics","NL","DELFT"
613694,2013,1292700,"Consolidator Grants","SH5 - Cultures & Cultural Production","ES","CERDANYOLA DEL VALLES"
200403,2007,511574,"Starting Grants","SH4 - The Human Mind and its Complexity","ES","CERDANYOLA DEL VALLES"
101021345,2020,2374863,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","DE","GOTTINGEN"
669531,2014,2496250,"Advanced Grants","PE4 - Physical & Analytical Chemical Sciences","DE","Potsdam"
101113091,2022,150000,"Proof Of Concept","Proof of Concept","DE",NA
640550,2014,1228625,"Starting Grants","PE6 - Computer Science & Informatics","DE","MUNCHEN"
228035,2008,1542600,"Advanced Grants","PE7 - Systems & Communication Engineering","UK","LEEDS"
101116071,2023,1500000,"Starting Grants","PE11 - Materials Engineering","SE",NA
246976,2009,2383980,"Advanced Grants","PE9 - Universe Sciences","NL","LEIDEN"
648589,2014,1928750,"Consolidator Grants","PE3 - Condensed Matter Physics","DE","KOLN"
247422,2009,2347355,"Advanced Grants","PE10 - Earth System Science","UK","OXFORD"
101041743,2021,1499464,"Starting Grants","PE10 - Earth System Science","DE","Bremerhaven"
101113104,2022,150000,"Proof Of Concept","Proof of Concept","DE","MUNCHEN"
838894,2018,149875,"Proof Of Concept","Proof of Concept","DE","MUNCHEN"
772195,2017,1996291,"Consolidator Grants","PE3 - Condensed Matter Physics","DE","MUNCHEN"
336749,2013,1739680,"Starting Grants","PE3 - Condensed Matter Physics","DE","MUNCHEN"
309742,2012,1486761,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","UK","CAMBRIDGE"
617391,2013,1785671,"Consolidator Grants","SH5 - Cultures & Cultural Production","UK","CAMBRIDGE"
639343,2014,1439919,"Starting Grants","LS3 - Cellular, Developmental & Regenerative Biology","DE","HEIDELBERG"
240898,2009,665550,"Starting Grants","SH6 - The Study of the Human Past","DE","BERLIN"
818399,2018,2357390,"Consolidator Grants","PE3 - Condensed Matter Physics","NL","NIJMEGEN"
665684,2014,150000,"Proof Of Concept","Proof of Concept","NL","LEIDEN"
240394,2009,1392262,"Starting Grants","PE5 - Synthetic Chemistry & Materials","NL","LEIDEN"
741251,2016,2415849,"Advanced Grants","PE4 - Physical & Analytical Chemical Sciences","FR","Talence"
263293,2010,1044000,"Starting Grants","SH6 - The Study of the Human Past","IL","JERUSALEM"
641152,2014,150000,"Proof Of Concept","Proof of Concept","IL","JERUSALEM"
249898,2009,2054340,"Advanced Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","IL","JERUSALEM"
226135,2008,1082504,"Advanced Grants","PE1 - Mathematics","IL","JERUSALEM"
101045054,2021,2000000,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","DK","COPENHAGEN"
101098178,2022,2487500,"Advanced Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","DE",NA
267802,2010,1390000,"Advanced Grants","PE1 - Mathematics","DE","Berlin"
759282,2017,1499616,"Starting Grants","LS3 - Cellular, Developmental & Regenerative Biology","UK","CAMBRIDGE"
680375,2015,147247,"Proof Of Concept","Proof of Concept","DE","KARLSRUHE"
277863,2011,1494600,"Starting Grants","PE8 - Products & Processes Engineering","DE","KARLSRUHE"
766695,2017,149875,"Proof Of Concept","Proof of Concept","DE","KARLSRUHE"
682512,2015,1999502,"Consolidator Grants","PE10 - Earth System Science","DE","GOTTINGEN"
307238,2012,576403,"Starting Grants","PE2 - Fundamental Constituents of Matter","UK","Swindon"
101043587,2021,1999444,"Consolidator Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","SE","LUND"
770929,2017,1820475,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","IL","JERUSALEM"
101044247,2021,1976300,"Consolidator Grants","PE10 - Earth System Science","DE","Bremerhaven"
101002158,2020,1994180,"Consolidator Grants","LS8 - Environmental Biology, Ecology & Evolution","UK","Norwich"
834788,2018,2411440,"Advanced Grants","LS3 - Cellular, Developmental & Regenerative Biology","CH","Basel"
724704,2016,1973875,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","DE","AACHEN"
339109,2013,2001598,"Advanced Grants","PE1 - Mathematics","NL","AMSTERDAM"
101001250,2020,1996738,"Consolidator Grants","SH4 - The Human Mind and its Complexity","DE","MARBURG"
676786,2015,1429800,"Starting Grants","SH4 - The Human Mind and its Complexity","DE","MARBURG"
948885,2020,1497425,"Starting Grants","PE1 - Mathematics","UK","EDINBURGH"
715947,2016,1443000,"Starting Grants","PE9 - Universe Sciences","DE","MUNCHEN"
639305,2014,991750,"Starting Grants","PE1 - Mathematics","UK","LONDON"
647320,2014,1999906,"Consolidator Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","AT","VIENNA"
242922,2009,1794400,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","AT","VIENNA"
677770,2015,1500000,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","DE","MUNCHEN"
949699,2020,1060381,"Starting Grants","SH1 - Individuals, Markets & Organisations ","UK","OXFORD"
263472,2010,1344853,"Starting Grants","SH4 - The Human Mind and its Complexity","NL","MAASTRICHT"
759744,2017,1498188,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","DE","MUNCHEN"
101053581,2021,2500000,"Advanced Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","NL","AMSTERDAM"
742225,2016,2500000,"Advanced Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","NL","AMSTERDAM"
294325,2011,2500000,"Advanced Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","NL","AMSTERDAM"
101117619,2023,1499974,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","DE",NA
788812,2017,2470200,"Advanced Grants","SH5 - Cultures & Cultural Production","FR","Paris"
306754,2012,1272196,"Starting Grants","PE3 - Condensed Matter Physics","DE","MUNCHEN"
716311,2016,1499551,"Starting Grants","PE5 - Synthetic Chemistry & Materials","DE","BRAUNSCHWEIG"
101040214,2021,1498750,"Starting Grants","LS6 - Immunity, Infection & Immunotherapy","DE","BRAUNSCHWEIG"
647995,2014,1854750,"Consolidator Grants","PE9 - Universe Sciences","DE","Hamburg"
617336,2013,1996126,"Consolidator Grants","PE8 - Products & Processes Engineering","DK","Aarhus"
949077,2020,1455000,"Starting Grants","PE2 - Fundamental Constituents of Matter","CH","Geneva"
101076506,2022,1499943,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","ES","Esplugues De Llobregat"
948152,2020,1175100,"Starting Grants","SH6 - The Study of the Human Past","RO","Cluj-Napoca"
715300,2016,1082450,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","FR","PARIS"
257182,2010,1229998,"Starting Grants","PE5 - Synthetic Chemistry & Materials","UK","LONDON"
647467,2014,1999623,"Consolidator Grants","SH6 - The Study of the Human Past","DE","BOCHUM"
726061,2016,1998939,"Consolidator Grants","PE8 - Products & Processes Engineering","PT","Braga"
899953,2019,150000,"Proof Of Concept","Proof of Concept","PT","Braga"
101002697,2020,2000000,"Consolidator Grants","PE6 - Computer Science & Informatics","UK","LONDON"
679127,2015,1500000,"Starting Grants","PE6 - Computer Science & Informatics","UK","LONDON"
715626,2016,1496272,"Starting Grants","SH6 - The Study of the Human Past","UK","NOTTINGHAM"
715772,2016,1499881,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","NL","Groningen"
